day,current,phi,stage,stage_combined
653,0.3037,0.1370554713986871,D,D
654,0.3335,0.1585515400706917,D,D
655,0.3138,0.1443410517204068,D,D
656,0.3138,0.1443410517204068,D,D
657,0.3139,0.1444131861790377,D,D
658,0.316,0.1459280098102863,D,D
659,0.3137,0.1442689172617759,D,D
660,0.3106,0.1420327490442184,D,D
661,0.3112,0.1424655557960037,D,D
662,0.3158,0.1457837408930246,D,D
663,0.3121,0.1431147659236817,D,D
664,0.3111,0.1423934213373728,D,D
665,0.318,0.1473706989829041,D,D
666,0.3155,0.1455673375171319,D,D
667,0.33,0.1560268340186107,D,D
668,0.2971,0.1322945971290485,D,D
669,0.3275,0.1542234725528385,D,D
670,0.3291,0.1553776238909326,D,D
671,0.3029,0.13647839572964,D,D
672,0.3172,0.146793623313857,D,D
673,0.3173,0.1468657577724879,D,D
674,0.3094,0.1411671355406477,D,D
675,0.3149,0.1451345307653466,D,D
676,0.3126,0.1434754382168361,D,D
677,0.3359,0.160282767077833,D,D
678,0.3298,0.1558825651013489,D,D
679,0.3328,0.1580465988602755,D,D
680,0.3288,0.15516122051504,D,D
681,0.3144,0.1447738584721921,D,D
682,0.3197,0.1485969847796292,D,D
683,0.3282,0.1547284137632547,D,D
684,0.3149,0.1451345307653466,D,D
685,0.3307,0.1565317752290269,D,D
686,0.3235,0.1513380942076029,D,D
687,0.3228,0.1508331529971867,D,D
688,0.3319,0.1573973887325975,D,D
689,0.3302,0.1561711029358724,D,D
690,0.3241,0.1517709009593883,D,D
691,0.3367,0.1608598427468801,D,D
692,0.3192,0.1482363124864747,D,D
693,0.3331,0.1582630022361682,D,D
694,0.3334,0.1584794056120608,D,D
695,0.3265,0.1535021279665296,D,D
696,0.332,0.1574695231912284,D,D
697,0.3198,0.1486691192382601,D,D
698,0.3376,0.1615090528745582,D,D
699,0.3291,0.1553776238909326,D,D
700,0.3268,0.1537185313424222,D,D
701,0.3398,0.1630960109644377,D,D
